id,name,city,state,country_code,latitude,longitude,ports,power_kw,power_class,is_fast_dc
460636,Hotel Kantara Dine,Solur,Karnataka,IN,13.064574,77.257125,1.0,30.0,AC_HIGH_(22-49kW),False
460478,Burger King,Udayapura,Karnataka,IN,12.960134,76.330239,1.0,120.0,DC_FAST_(50-149kW),True
460205,Konnagar,Kolkata,West Bengal,IN,21.651444,87.6514,1.0,,UNKNOWN,False
458918,Tata.ev Luxon Motors - Tata Power,Edappally,Kerala,IN,10.011485,76.311387,2.0,60.0,DC_FAST_(50-149kW),True
458917,TML Sree Gokulam Motors - Tata Power,Edappally,Kerala,IN,10.039155,76.315559,1.0,30.0,AC_HIGH_(22-49kW),False
458916,Tata.ev Gokulam Motors - Tata Power,Choornikkara,Kerala,IN,10.081303,76.339462,1.0,60.0,DC_FAST_(50-149kW),True
458915,Taj Cochin Internation Airport Hotel - Tata Power,Nedumbassery,Kerala,IN,10.159995,76.390154,1.0,30.0,AC_HIGH_(22-49kW),False
458914,SAJ Earth Resort - Tata Power,Nedumbassery,Kerala,IN,10.162224,76.384653,1.0,30.0,AC_HIGH_(22-49kW),False
458913,Luxon Motors - Tata Power,Kariyad,Kerala,IN,10.162042,76.367356,1.0,30.0,AC_HIGH_(22-49kW),False
458912,Sree Gokulam Motors - Tata Power,Angamaly,Kerala,IN,10.22106,76.376752,1.0,30.0,AC_HIGH_(22-49kW),False
458911,Centro Mall Charging Station - Tata Power,Kodungallur,Kerala,IN,10.232489,76.19594,1.0,30.0,AC_HIGH_(22-49kW),False
458910,IOCL Thiruvonam Fuels - Tata Power,Palakkad,Kerala,IN,10.769831,76.668097,2.0,30.0,AC_HIGH_(22-49kW),False
458909,KVR Automotive - Tata Power,Koppam,Kerala,IN,10.782258,76.658245,1.0,30.0,AC_HIGH_(22-49kW),False
458908,Gokulam Residency - Tata Power,Amballur,Kerala,IN,10.436187,76.265206,1.0,25.0,AC_HIGH_(22-49kW),False
458907,Tata.ev Hyson Motors - Tata Power,Thrissur,Kerala,IN,10.496728,76.258361,2.0,60.0,DC_FAST_(50-149kW),True
458906,PCK Centenary,Thrissur,Kerala,IN,10.52294,76.206248,1.0,30.0,AC_HIGH_(22-49kW),False
458905,TML Hyson Motors - Tata Power,Thrissur,Kerala,IN,10.540423,76.189678,2.0,25.0,AC_HIGH_(22-49kW),False
458904,Hotel Gokulam Sabari - Tata Power,Guruvayur,Kerala,IN,10.596357,76.042934,2.0,25.0,AC_HIGH_(22-49kW),False
314018,Shirdi,Shirdi,Maharashtra,IN,19.757594,74.476347,1.0,30.0,AC_HIGH_(22-49kW),False
313995,InFour Wheel Care And Tyres - Tata Power,Perinthalmanna,Kerala,IN,10.960238,76.234679,1.0,25.0,AC_HIGH_(22-49kW),False
313994,TML KVR Automotive - Tata Power,Perinthalmanna,Kerala,IN,10.984503,76.187847,1.0,30.0,AC_HIGH_(22-49kW),False
313993,IOCL Sigma Enterprises Charging Station - Tata Power,Valanchery,Kerala,IN,10.897914,76.06101,1.0,30.0,AC_HIGH_(22-49kW),False
313992,AAK Mall,Tirur,Kerala,IN,10.918581,75.917798,1.0,30.0,AC_HIGH_(22-49kW),False
313991,Tata.ev Store Malappuram,Malappuram,Kerala,IN,11.052515,76.07764,2.0,60.0,DC_FAST_(50-149kW),True
313990,A M Tyres Malappuram - Tata Power,Malappuram,Kerala,IN,11.060403,76.080844,1.0,30.0,AC_HIGH_(22-49kW),False
313989,Hotel Gokulam Relax Park,Manjeri,Kerala,IN,11.118906,76.118474,2.0,25.0,AC_HIGH_(22-49kW),False
313988,One Stop Automotive Cahrging Station - Tata Power,Edavanna,Kerala,IN,11.204146,76.136734,2.0,60.0,DC_FAST_(50-149kW),True
