State,OCM Sites (COUNTIFS),Total Ports (SUMIFS),Avg Power kW (AVERAGEIFS),Fast-DC Sites,Fast-DC Share %
Kerala,454,1001,38.3541850220264,136,30.0
Karnataka,362,524,52.5770718232044,196,54.1
Tamil Nadu,182,208,41.5722222222222,59,32.4
Rajasthan,34,65,30.5294117647059,2,5.9
Delhi,30,53,31.3333333333333,8,26.7
Haryana,27,59,49.5185185185185,11,40.7
Gujarat,23,35,31.18,3,13.0
Uttar Pradesh,21,37,52.425,10,47.6
Maharashtra,16,33,58.0714285714286,10,62.5
Telangana,7,8,49.0666666666667,2,28.6
Goa,6,6,50.0,4,66.7
West Bengal,6,6,42.0,2,33.3
Andhra Pradesh,3,4,70.0,1,33.3
